OLDREVID,NEWREVID,USER_IS_IP,USER_IS_BOT,USER_AGE,USER_BLKED_BEFORE,USER_BLKED_EVER,USER_PAGE_ZERO_SIZE,USER_PAGE_ZERO_EN_WARNINGS,USER_PAGE_SIZE_CHANGE,USER_EDITS_TOTAL,USER_EDITS_HOUR,USER_EDITS_DAY,USER_EDITS_WEEK,USER_EDITS_MONTH,USER_EDITS_DENSITY,PAGE_AGE,PAGE_EDITS_TOTAL,PAGE_EDITS_HOUR,PAGE_EDITS_DAY,PAGE_EDITS_WEEK,PAGE_EDITS_MONTH,PAGE_EDITS_DENSITY,COMM_LEN,COMM_HAS_SECT,COMM_LEN_NO_SECT,COMM_VAND,SIZE_ARTICLE,SIZE_CHANGE_RESULT,SIZE_CHANGE_CHURN_CHARS,SIZE_CHANGE_CHURN_BLKS,HIST_REP_USER,HIST_REP_ARTICLE,HIST_REP_COUNTRY,HIST_USER_HAS_RB,HASH_REVERTED,HASH_REC_DIVERSITY,WT_NO_DELAY,WT_DELAYED,WT_DELAY_DIFF,LANG_ALL_CHAR_REP,LANG_ALL_UCASE,LANG_ALL_ALPHA,LANG_ALL_LONG_TOKEN,LANG_ALL_MARKUP,LANG_ALL_MARKUP_IMPACT,LANG_EN_PROFANE_SMALL,LANG_EN_PROFANE_SMALL_IMPACT,LANG_EN_PROFANE_BIG,LANG_EN_PROFANE_BIG_IMPACT,LANG_EN_PRONOUN,LANG_EN_PRONOUN_IMPACT,PREV_TIME_AGO,PREV_USER_IS_IP,PREV_USER_SAME,NEXT_TIME_AHEAD,NEXT_USER_IS_IP,NEXT_USER_SAME,NEXT_COMMENT_VAND,URL,VANDALISM_TYPE
325467329,327693371,True,False,56152916.0,False,True,6016,3.0,0.0,34.0,1.0,1.0,1.0,1.0,1651556.352941,224116234,50.0,1.0,1.0,1.0,3.0,4482324.68,0,False,0,False,5770.0,-81.0,1070.0,6.0,0.0,0.0,0.130015,False,True,0.571429,0.731452,0.708271,-0.023181,4.0,0.214099,0.773737,13.0,-1.0,-0.012346,0.0,0.0,0.0,0.0,0.0,0.0,1035292.0,False,False,2015.0,False,False,True,http://en.wikipedia.org/w/index.php?diff=327693371&oldid=325467329,0
327540421,328010563,True,False,0.0,False,False,0,,,1.0,1.0,1.0,1.0,1.0,0.0,153797538,1111.0,1.0,1.0,4.0,13.0,138431.627363,10,True,0,False,17640.0,0.0,8.0,2.0,0.0,0.272581,0.128771,False,False,0.857143,0.175375,0.008924,-0.166451,0.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212790.0,False,False,70545.0,False,False,False,http://en.wikipedia.org/w/index.php?diff=328010563&oldid=327540421,0
326851589,327527236,True,False,0.0,False,False,0,,,1.0,1.0,1.0,1.0,1.0,0.0,138293197,100.0,1.0,1.0,2.0,3.0,1382931.97,18,True,0,False,5595.0,44.0,62.0,4.0,0.0,0.0,0.130309,False,False,0.857143,0.478513,0.957912,0.479399,2.0,0.0,0.75,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323549.0,False,False,471485.0,True,False,False,http://en.wikipedia.org/w/index.php?diff=327527236&oldid=326851589,0
323155885,327362330,True,False,0.0,False,False,0,,,1.0,1.0,1.0,1.0,1.0,0.0,90214126,44.0,1.0,1.0,1.0,2.0,2050321.045455,0,False,0,False,5866.0,18.0,18.0,1.0,0.0,0.0,0.132107,False,False,0.857143,0.175375,0.008924,-0.166451,2.0,0.0,0.666667,9.0,1.0,0.055556,0.0,0.0,1.0,0.055556,0.0,0.0,1909636.0,False,False,1241987.0,False,False,False,http://en.wikipedia.org/w/index.php?diff=327362330&oldid=323155885,0
326595858,326952467,True,False,60659421.0,True,True,35813,22.0,0.0,127.0,1.0,3.0,6.0,9.0,477633.23622,119115436,585.0,1.0,1.0,4.0,27.0,203616.129915,22,True,0,False,9112.0,-3010.0,3101.0,7.0,0.341078,0.198462,0.133841,True,True,0.571429,0.731452,0.708271,-0.023181,0.0,0.0,0.888889,6.0,-4.0,-0.001329,4.0,0.001329,-2.0,-0.000664,-1.0,-0.000332,160857.0,False,False,87.0,True,True,False,http://en.wikipedia.org/w/index.php?diff=326952467&oldid=326595858,0
326665381,327157573,True,False,0.0,False,False,0,,,1.0,1.0,1.0,1.0,1.0,0.0,91223390,250.0,1.0,1.0,4.0,8.0,364893.56,27,True,0,False,8050.0,13.0,11.0,2.0,0.0,0.248269,0.132455,False,True,0.857143,0.626212,0.608974,-0.017238,0.0,0.0,0.818182,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.076923,231970.0,False,False,4106.0,False,False,True,http://en.wikipedia.org/w/index.php?diff=327157573&oldid=326665381,0
323633139,327573247,True,False,107261364.0,False,False,0,,,2.0,1.0,1.0,1.0,1.0,53630682.0,164594878,223.0,1.0,1.0,1.0,7.0,738093.623318,17,True,0,False,7341.0,102.0,102.0,1.0,0.0,0.04527,0.130195,False,True,0.857143,0.731452,0.957912,0.226461,2.0,0.055556,0.705882,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1796793.0,True,False,478.0,False,False,True,http://en.wikipedia.org/w/index.php?diff=327573247&oldid=323633139,0
324399590,327245350,True,False,6343110.0,False,False,0,0.0,1533.0,6.0,1.0,1.0,1.0,2.0,1057185.0,121655997,268.0,1.0,1.0,1.0,8.0,453940.287313,0,False,0,False,6814.0,75.0,75.0,1.0,0.0,0.0,0.132934,False,True,0.857143,0.731452,0.708271,-0.023181,2.0,0.103448,0.773333,8.0,0.0,0.0,0.0,0.0,1.0,0.013333,0.0,0.0,1305985.0,False,False,1888.0,False,False,True,http://en.wikipedia.org/w/index.php?diff=327245350&oldid=324399590,0
327452447,327620366,True,False,15417397.0,False,False,1790,0.0,0.0,4.0,1.0,1.0,1.0,1.0,3854349.25,50096495,295.0,1.0,3.0,12.0,30.0,169818.627119,18,True,0,False,11022.0,221.0,221.0,1.0,0.0,1.091967,0.130037,False,False,0.857143,0.731452,0.708271,-0.023181,2.0,0.077922,0.696833,9.0,0.0,0.0,1.0,0.004525,0.0,0.0,3.0,0.013575,73226.0,False,False,1525.0,True,False,False,http://en.wikipedia.org/w/index.php?diff=327620366&oldid=327452447,0
327681862,327989298,False,False,25386053.0,False,True,0,,,2.0,1.0,1.0,1.0,1.0,12693026.5,254815140,5071.0,1.0,1.0,16.0,120.0,50249.485309,19,True,0,False,29097.0,52.0,52.0,1.0,0.0,2.825978,0.008423,False,True,0.857143,0.868756,0.908711,0.039956,2.0,0.069767,0.826923,8.0,0.0,0.0,1.0,0.019231,0.0,0.0,0.0,0.0,132117.0,False,False,84.0,False,False,True,http://en.wikipedia.org/w/index.php?diff=327989298&oldid=327681862,0
